seed_idx,seed_alpha0_dec,seed_beta0_dec,seed_alpha0_hex,seed_beta0_hex,alpha0,beta0,alphaR,betaR,alpha0_hex,beta0_hex,alphaR_hex,betaR_hex,cw_total
250,39564,50500,0x9a8c,0xc544,,,,,,,,,inf
249,37558,26793,0x92b6,0x68a9,,,,,,,,,inf
248,58784,6212,0xe5a0,0x1844,,,,,,,,,inf
247,54958,29176,0xd6ae,0x71f8,,,,,,,,,inf
246,7476,65393,0x1d34,0xff71,,,,,,,,,inf
245,40581,50173,0x9e85,0xc3fd,,,,,,,,,inf
244,23972,64822,0x5da4,0xfd36,,,,,,,,,inf
243,23408,23463,0x5b70,0x5ba7,,,,,,,,,inf
242,60477,3916,0xec3d,0xf4c,,,,,,,,,inf
241,41652,45067,0xa2b4,0xb00b,,,,,,,,,inf
240,12907,65427,0x326b,0xff93,,,,,,,,,inf
271,5794,14081,0x16a2,0x3701,,,,,,,,,inf
270,33526,17203,0x82f6,0x4333,,,,,,,,,inf
269,29711,44840,0x740f,0xaf28,,,,,,,,,inf
268,14687,33090,0x395f,0x8142,,,,,,,,,inf
267,44075,39085,0xac2b,0x98ad,,,,,,,,,inf
266,9728,42556,0x2600,0xa63c,,,,,,,,,inf
265,4316,17885,0x10dc,0x45dd,,,,,,,,,inf
264,58372,22942,0xe404,0x599e,,,,,,,,,inf
263,4788,39198,0x12b4,0x991e,,,,,,,,,inf
262,50630,50691,0xc5c6,0xc603,,,,,,,,,inf
261,10569,18612,0x2949,0x48b4,,,,,,,,,inf
260,2321,40079,0x911,0x9c8f,,,,,,,,,inf
259,22617,42689,0x5859,0xa6c1,,,,,,,,,inf
258,29214,54318,0x721e,0xd42e,,,,,,,,,inf
257,40277,57572,0x9d55,0xe0e4,,,,,,,,,inf
256,35513,51965,0x8ab9,0xcafd,,,,,,,,,inf
287,31407,41301,0x7aaf,0xa155,,,,,,,,,inf
286,20099,25107,0x4e83,0x6213,,,,,,,,,inf
285,32737,2411,0x7fe1,0x96b,,,,,,,,,inf
284,49248,3040,0xc060,0xbe0,,,,,,,,,inf
283,39161,45796,0x98f9,0xb2e4,,,,,,,,,inf
282,882,32050,0x372,0x7d32,,,,,,,,,inf
281,142,40550,0x8e,0x9e66,,,,,,,,,inf
280,34979,39155,0x88a3,0x98f3,,,,,,,,,inf
279,36553,36074,0x8ec9,0x8cea,,,,,,,,,inf
278,8813,56006,0x226d,0xdac6,,,,,,,,,inf
277,45121,60556,0xb041,0xec8c,,,,,,,,,inf
276,41701,52324,0xa2e5,0xcc64,,,,,,,,,inf
275,11661,2258,0x2d8d,0x8d2,,,,,,,,,inf
274,7098,34290,0x1bba,0x85f2,,,,,,,,,inf
273,16122,2451,0x3efa,0x993,,,,,,,,,inf
272,62987,32210,0xf60b,0x7dd2,,,,,,,,,inf
303,30577,16712,0x7771,0x4148,,,,,,,,,inf
302,16485,6595,0x4065,0x19c3,,,,,,,,,inf
301,45918,3003,0xb35e,0xbbb,,,,,,,,,inf
300,2599,8982,0xa27,0x2316,,,,,,,,,inf
299,46161,61576,0xb451,0xf088,,,,,,,,,inf
298,50720,52933,0xc620,0xcec5,,,,,,,,,inf
297,41250,10313,0xa122,0x2849,,,,,,,,,inf
296,5933,34337,0x172d,0x8621,,,,,,,,,inf
295,55334,52067,0xd826,0xcb63,,,,,,,,,inf
294,51241,32054,0xc829,0x7d36,,,,,,,,,inf
293,46660,31025,0xb644,0x7931,,,,,,,,,inf
292,18544,19778,0x4870,0x4d42,,,,,,,,,inf
291,5462,6086,0x1556,0x17c6,,,,,,,,,inf
290,26389,49148,0x6715,0xbffc,,,,,,,,,inf
289,49564,20680,0xc19c,0x50c8,,,,,,,,,inf
288,51102,21319,0xc79e,0x5347,,,,,,,,,inf
319,17788,54035,0x457c,0xd313,,,,,,,,,inf
318,2181,4442,0x885,0x115a,,,,,,,,,inf
317,2882,30061,0xb42,0x756d,,,,,,,,,inf
316,37435,57423,0x923b,0xe04f,,,,,,,,,inf
315,31316,15821,0x7a54,0x3dcd,,,,,,,,,inf
314,3953,61844,0xf71,0xf194,,,,,,,,,inf
313,13323,51111,0x340b,0xc7a7,,,,,,,,,inf
312,28503,19290,0x6f57,0x4b5a,,,,,,,,,inf
311,6901,11157,0x1af5,0x2b95,,,,,,,,,inf
310,18496,27586,0x4840,0x6bc2,,,,,,,,,inf
309,34256,49706,0x85d0,0xc22a,,,,,,,,,inf
308,57199,54628,0xdf6f,0xd564,,,,,,,,,inf
307,64711,6079,0xfcc7,0x17bf,,,,,,,,,inf
306,49553,61915,0xc191,0xf1db,,,,,,,,,inf
305,26838,23376,0x68d6,0x5b50,,,,,,,,,inf
304,23819,55191,0x5d0b,0xd797,,,,,,,,,inf
335,13643,29137,0x354b,0x71d1,,,,,,,,,inf
334,22916,3381,0x5984,0xd35,,,,,,,,,inf
333,50952,16852,0xc708,0x41d4,,,,,,,,,inf
332,8338,1037,0x2092,0x40d,,,,,,,,,inf
331,60951,11368,0xee17,0x2c68,,,,,,,,,inf
330,2238,20487,0x8be,0x5007,,,,,,,,,inf
329,23247,42257,0x5acf,0xa511,,,,,,,,,inf
328,16424,5346,0x4028,0x14e2,,,,,,,,,inf
327,34008,5531,0x84d8,0x159b,,,,,,,,,inf
326,1312,29337,0x520,0x7299,,,,,,,,,inf
325,43275,29352,0xa90b,0x72a8,,,,,,,,,inf
324,5780,47730,0x1694,0xba72,,,,,,,,,inf
323,43391,27311,0xa97f,0x6aaf,,,,,,,,,inf
322,52044,48951,0xcb4c,0xbf37,,,,,,,,,inf
321,53899,39700,0xd28b,0x9b14,,,,,,,,,inf
320,46445,24905,0xb56d,0x6149,,,,,,,,,inf
351,49684,31980,0xc214,0x7cec,,,,,,,,,inf
